experiment,experiment_dir,model,category,gpu_name,corruption,severity,auroc,aupr,precision,recall,f1,mean_latency_ms,_report_mtime_ns,_report_size
coldstart_draem_polymer_sheet_Polymer_sheet_gaussian_noise_s2,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_draem_polymer_sheet_Polymer_sheet_gaussian_noise_s2,draem,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,gaussian_noise,2,0.6371023513139695,0.9774499217936794,1.0,0.4045643153526971,0.5760709010339735,19.181270543466145,1779827370538580900,2704
coldstart_draem_polymer_sheet_Polymer_sheet_gaussian_noise_s3,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_draem_polymer_sheet_Polymer_sheet_gaussian_noise_s3,draem,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,gaussian_noise,3,0.0404564315352697,0.8579580711038204,0.0,0.0,0.0,19.118971523707643,1779827375794246700,2666
coldstart_draem_polymer_sheet_Polymer_sheet_motion_blur_s1,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_draem_polymer_sheet_Polymer_sheet_motion_blur_s1,draem,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,motion_blur,1,0.5636670124481329,0.9719310120425864,1.0,0.4066390041493776,0.5781710914454278,19.093386545451587,1779837934892387400,2693
coldstart_draem_polymer_sheet_Polymer_sheet_motion_blur_s2,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_draem_polymer_sheet_Polymer_sheet_motion_blur_s2,draem,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,motion_blur,2,0.8026452282157677,0.9873567441712471,1.0,0.46473029045643155,0.6345609065155807,19.08858518380059,1779837935652607200,2707
coldstart_draem_polymer_sheet_Polymer_sheet_motion_blur_s3,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_draem_polymer_sheet_Polymer_sheet_motion_blur_s3,draem,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,motion_blur,3,0.7547544951590595,0.9841074615035978,1.0,0.42531120331950206,0.5967976710334788,19.089324262838517,1779837927315047200,2708
coldstart_draem_polymer_sheet_Polymer_sheet_shot_noise_s1,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_draem_polymer_sheet_Polymer_sheet_shot_noise_s1,draem,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,shot_noise,1,0.6888831258644538,0.9808095007718355,1.0,0.4190871369294606,0.5906432748538012,19.63012852371436,1779837936609201700,2689
coldstart_draem_polymer_sheet_Polymer_sheet_shot_noise_s2,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_draem_polymer_sheet_Polymer_sheet_shot_noise_s2,draem,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,shot_noise,2,0.42047026279391425,0.9462289387535697,0.9166666666666666,0.04564315352697095,0.08695652173913043,19.624001428850384,1779837939614886800,2707
coldstart_draem_polymer_sheet_Polymer_sheet_shot_noise_s3,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_draem_polymer_sheet_Polymer_sheet_shot_noise_s3,draem,Polymer_sheet,NVIDIA RTX PRO 6000 Blackwell Server Edition,shot_noise,3,0.749524550484094,0.9804033001055192,0.9776119402985075,0.5435684647302904,0.6986666666666667,19.63475754941489,1779837940017695500,2706
coldstart_padim_polymer_sheet_Polymer_sheet_gaussian_noise_s1,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_padim_polymer_sheet_Polymer_sheet_gaussian_noise_s1,padim,Polymer_sheet,Tesla T4,gaussian_noise,1,0.9975795297372061,0.999880129253955,1.0,0.9149377593360996,0.9555796316359697,7.875493549408166,1779776625260647300,2609
coldstart_padim_polymer_sheet_Polymer_sheet_gaussian_noise_s2,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 6\coldstart_padim_polymer_sheet_Polymer_sheet_gaussian_noise_s2,padim,Polymer_sheet,Tesla T4,gaussian_noise,2,0.9598029045643154,0.9978591867498592,1.0,0.6493775933609959,0.7874213836477988,7.851523519761203,1779776600118685300,2606
