experiment,experiment_dir,model,category,gpu_name,auroc,aupr,f1,mean_latency_ms,_report_mtime_ns,_report_size
coldstart_draem_real_iad_toy_brick,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_toy_brick,draem,toy_brick,NVIDIA A100-SXM4-80GB,0.4975901427764782,0.7385874629588216,0.0499040307101727,29.83882299856869,1779130045518965500,2569
coldstart_draem_real_iad_transistor1,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_transistor1,draem,transistor1,NVIDIA A100-SXM4-80GB,0.5615494848169864,0.778066305620143,0.0726577437858508,29.84646306428333,1779130045645255800,2558
coldstart_draem_real_iad_u_block,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_u_block,draem,u_block,NVIDIA A100-SXM4-80GB,0.4491445201961712,0.6851291369266891,0.0348837209302325,29.83876866190461,1779130044967013800,2571
coldstart_draem_real_iad_usb,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_usb,draem,usb,NVIDIA A100-SXM4-80GB,0.0417672136422136,0.5215646496093956,0.0,29.84631816479136,1779130045770024100,2510
coldstart_draem_real_iad_usb_adaptor,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_usb_adaptor,draem,usb_adaptor,NVIDIA A100-SXM4-80GB,0.3203914647842131,0.6917364644946681,0.0073529411764705,29.84442253769124,1779130045446975100,2559
coldstart_draem_real_iad_vcpill,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_vcpill,draem,vcpill,NVIDIA A100-SXM4-80GB,0.285321513835075,0.6650124596258389,0.0841300191204589,29.81155027801504,1779130044755289300,2548
coldstart_draem_real_iad_wooden_beads,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_wooden_beads,draem,wooden_beads,NVIDIA A100-SXM4-80GB,0.5594163067661302,0.8557401676139964,0.1465798045602606,29.84629780458141,1779130045266073900,2562
coldstart_draem_real_iad_woodstick,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_woodstick,draem,woodstick,NVIDIA A100-SXM4-80GB,0.3257213930348259,0.6091247129077283,0.0,29.849868975732523,1779130045724098900,2517
coldstart_draem_real_iad_zipper,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_draem_real_iad_zipper,draem,zipper,NVIDIA A100-SXM4-80GB,0.4745074626865672,0.705397293271702,0.0039920159680638,29.819058328080825,1779130045834153200,2532
coldstart_padim_real_iad_audiojack,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_audiojack,padim,audiojack,NVIDIA L4,0.4684458965133643,0.730786716237403,0.3853727144866385,3.597651690136406,1779123341901740000,2563
