experiment,experiment_dir,model,category,gpu_name,auroc,aupr,global_auroc,precision,recall,f1,accuracy,mean_latency_ms,throughput_fps,threshold_value,warmup_frames,calibration_frames,streaming_frames,mean_score_ok,mean_score_ng,_report_mtime_ns,_report_size,_frames_mtime_ns,_frames_size
coldstart_padim_real_iad_wooden_beads,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_wooden_beads,padim,wooden_beads,NVIDIA L4,0.6481481481481481,0.8541060950969648,0.6429197748985734,0.881578947368421,0.2367491166077738,0.3732590529247911,0.3580599144079885,3.6030005007128674,27.50347340070776,115.93215942382812,200,100,701,83.72593064484772,97.19123480766486,1779123340234189500,2567,1779123340145166700,223448
coldstart_padim_real_iad_woodstick,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_woodstick,padim,woodstick,NVIDIA L4,0.6162089552238805,0.8217722704124869,0.5859004975124378,0.0,0.0,0.0,0.2867332382310984,3.4863020898466,27.652476758310616,182.9378662109375,200,100,701,63.19835211151275,78.87719023132324,1779123339657024400,2513,1779123339668984100,219525
coldstart_padim_real_iad_zipper,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_zipper,padim,zipper,NVIDIA L4,0.6847960199004974,0.8326649261506138,0.6632686567164179,1.0,0.002,0.0039920159680638,0.2881597717546362,3.475649352350461,28.39824303620757,151.43536376953125,200,100,701,62.15399833223713,77.88095441818237,1779123339265936300,2530,1779123339274973800,217220
coldstart_patchcore_real_iad_audiojack,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_audiojack,patchcore,audiojack,NVIDIA L4,0.7634118719996792,0.8903570919319793,0.7696154578526974,0.9858156028368794,0.2688588007736944,0.4224924012158054,0.4647887323943662,170.60647953097975,4.905695256750082,50.69260787963867,200,100,710,40.23776055370588,48.78208846603187,1779089397216292900,2572,1779089397201729900,222285
coldstart_patchcore_real_iad_bottle_cap,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_bottle_cap,patchcore,bottle_cap,NVIDIA L4,0.933942840834964,0.9726581486567564,0.8644406392694064,1.0,0.4090019569471624,0.5805555555555556,0.5704125177809388,170.1183205448105,4.874390953364966,39.66305160522461,200,100,703,29.636938055356342,40.7838982695936,1779089398711120900,2557,1779089398726611800,221301
coldstart_patchcore_real_iad_button_battery,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_button_battery,patchcore,button_battery,NVIDIA L4,0.8574584350656902,0.9487159215515204,0.8311348574690046,0.9914529914529916,0.448742746615087,0.6178428761651131,0.59,170.61165574431865,4.907297085214023,47.0949592590332,200,100,700,36.19598560645933,47.42371449940901,1779089397135537100,2571,1779089397119328800,223813
coldstart_patchcore_real_iad_end_cap,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_end_cap,patchcore,end_cap,NVIDIA L4,0.7892857142857144,0.8863280164028067,0.7486686390532544,0.9126637554585152,0.4019230769230769,0.5580774365821094,0.5284900284900285,170.76123321935864,4.85462222006989,44.23821258544922,200,100,702,35.52752066182566,43.123730520101695,1779089396124662600,2572,1779089396108882800,218024
coldstart_patchcore_real_iad_eraser,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_eraser,patchcore,eraser,NVIDIA L4,0.8032129718490083,0.9195657991551308,0.7745121561100448,0.9772727272727272,0.3301343570057581,0.4935437589670015,0.5049088359046283,170.54369770965715,4.890704396880568,44.23219299316406,200,100,713,30.66751976807912,40.15931824301576,1779089396884917400,2566,1779089396736684600,219581
coldstart_patchcore_real_iad_fire_hood,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_fire_hood,patchcore,fire_hood,NVIDIA L4,0.7693575771933983,0.902746474822181,0.7258153676064124,0.9825581395348836,0.3353174603174603,0.5,0.5205673758865248,170.3887483375409,4.71280154186955,47.94219970703125,200,100,705,35.93513080729774,44.418991247812905,1779089397982028300,2557,1779089398035047300,220637
coldstart_patchcore_real_iad_mint,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_mint,patchcore,mint,NVIDIA L4,0.6305121773606278,0.9731903507515992,0.5949510478194029,0.9891304347826086,0.1251719394773039,0.2222222222222222,0.1629434954007884,170.57616191855368,4.8274741483178,46.539794921875,200,100,761,35.80081417981316,38.58168138664068,1779089396079433300,2560,1779089396019325000,227152
coldstart_patchcore_real_iad_mounts,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_mounts,patchcore,mounts,NVIDIA L4,0.8678913156781953,0.9510443274035276,0.8572461131489149,1.0,0.4520547945205479,0.6226415094339622,0.6056338028169014,170.4438231450874,4.911117658127434,49.18559646606445,200,100,710,31.947801388687825,48.97648872181394,1779089398303107900,2554,1779089398397961800,218798
coldstart_patchcore_real_iad_pcb,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_pcb,patchcore,pcb,NVIDIA L4,0.8876492563901585,0.9487658765971004,0.8472215153150036,0.99375,0.31237721021611,0.4753363228699551,0.5,170.96308351846997,4.8346305805322665,49.37003707885742,200,100,702,34.16725127066973,45.25501908113071,1779089398941466400,2536,1779089399008977200,213968
coldstart_patchcore_real_iad_phone_battery,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_phone_battery,patchcore,phone_battery,NVIDIA L4,0.907103825136612,0.9606465101671968,0.8863557091670102,0.9808612440191388,0.3965183752417795,0.5647382920110193,0.5485714285714286,170.71765023570282,4.785019281154836,48.15558242797852,200,100,700,33.421107141046576,47.4156979426194,1779089398500503400,2587,1779089398521334200,224272
coldstart_patchcore_real_iad_plastic_nut,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_plastic_nut,patchcore,plastic_nut,NVIDIA L4,0.4455544554455445,0.7219727715396836,0.4519356435643564,0.6061946902654868,0.274,0.3774104683195592,0.3561253561253561,170.88354206982248,4.831384715314411,41.84079360961914,200,100,702,39.616357359555685,40.14738202667236,1779089397026199200,2566,1779089396983811900,221981
coldstart_patchcore_real_iad_plastic_plug,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_plastic_plug,patchcore,plastic_plug,NVIDIA L4,0.8338100746661059,0.9407135112110252,0.8070617309916921,1.0,0.3638132295719844,0.5335235378031383,0.5321888412017167,170.73788265093307,4.786659131014742,47.97327423095703,200,100,699,33.417802253929345,44.97119413739512,1779089396424717300,2567,1779089396551412500,222353
coldstart_patchcore_real_iad_porcelain_doll,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_porcelain_doll,patchcore,porcelain_doll,NVIDIA L4,0.7216074240838803,0.8876732100602854,0.6790172390102631,0.9666666666666668,0.2243713733075435,0.3642072213500785,0.4214285714285714,170.90832460866554,4.828278719754247,42.84684753417969,200,100,700,33.687005287962535,38.50477282083242,1779089396276274100,2588,1779089396361557400,224553
coldstart_patchcore_real_iad_regulator,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_regulator,patchcore,regulator,NVIDIA L4,0.7747107086187546,0.907559009405864,0.6925674368203104,1.0,0.0440613026819923,0.0844036697247706,0.3069444444444444,170.7429801792235,4.898173000354015,43.45914840698242,200,100,720,31.57985116014577,36.05371757668097,1779089396661257800,2562,1779089396644410000,224192
coldstart_patchcore_real_iad_rolled_strip_base,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_rolled_strip_base,patchcore,rolled_strip_base,NVIDIA L4,0.9899862459306756,0.9960773715485354,0.9822186600172174,0.9953271028037384,0.8304093567251462,0.9054197662061636,0.8746478873239436,170.88634423512624,4.756336917221002,50.17784881591797,200,100,710,32.87905606884642,56.62382485759653,1779089397359432600,2590,1779089397515125900,229923
coldstart_patchcore_real_iad_sim_card_set,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_sim_card_set,patchcore,sim_card_set,NVIDIA L4,0.9613755666905276,0.9826617075539636,0.9294321164399904,0.9877300613496932,0.6338582677165354,0.7721822541966428,0.7308781869688386,170.76864331018638,4.685367344679738,46.007286071777344,200,100,706,33.362297645722975,51.193932405606965,1779089397800032500,2584,1779089397867490000,224611
coldstart_patchcore_real_iad_switch,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_switch,patchcore,switch,NVIDIA L4,0.9287524131274132,0.9756984834474716,0.9219654922779924,0.9675174013921114,0.805019305019305,0.8788198103266597,0.8380281690140845,169.11539207176247,4.890121319554899,39.66814804077149,200,100,710,33.50721172491709,49.9327276480244,1779123338767068200,2570,1779123338719101300,219474
coldstart_patchcore_real_iad_tape,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_tape,patchcore,tape,NVIDIA L4,0.8132019230769232,0.9274491844853928,0.7965096153846154,0.9948979591836736,0.375,0.5446927374301676,0.5472222222222223,168.69934890972016,4.966922077912599,40.78570556640625,200,100,720,26.58919028282165,38.349915372408354,1779123341202871400,2553,1779123341261857400,219234
coldstart_patchcore_real_iad_terminalblock,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_terminalblock,patchcore,terminalblock,NVIDIA A100-SXM4-80GB,0.8875471620944572,0.9627073903970914,0.870338749092545,0.9835164835164836,0.6845124282982792,0.8072153325817362,0.7591549295774648,75.64718325070272,9.810976435591932,38.76616668701172,200,100,710,29.85519475477902,47.261250034572974,1779123334310281900,2593,1779123334297642300,225313
coldstart_patchcore_real_iad_toothbrush,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_patchcore_real_iad_toothbrush,patchcore,toothbrush,NVIDIA A100-SXM4-80GB,0.9439380787037038,0.9802873994392636,0.8993210565476191,1.0,0.0390625,0.075187969924812,0.2981455064194008,75.84778907275255,9.714928868029224,68.4300765991211,200,100,701,41.63387080601284,55.9832204952836,1779123333569393000,2561,1779123333567397600,219317
